Unnamed: 0,subjid,g,d,c,rt_mu,rt_sd,ice,prob,notation,operation,operands,denoms,key,steps,time,acc,ans,KDON_AS,KDON_OG,CDON_AS,CDON_OG,ONOD_M,ONOD_OG,CROP_M,ICDM_D,ICDM_OG
3,642,0.07,0.5,5,3,1,50,2/3+3/5,fraction,add,FR,UD,1.266666666666667,15,0.04771986813284457,0,5/8,0,0,0,0,0,1,0,0,0
4,642,0.07,0.5,5,3,1,50,3/5-1/5,fraction,sub,FR,ED,0.4,20,0.04967795591801405,0,1/2,0,0,0,0,0,0,0,0,1
5,642,0.07,0.5,5,3,1,50,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,11,0.0237054480239749,1,1/5,1,0,0,0,0,0,0,0,0
6,642,0.07,0.5,5,3,1,50,3/5-1/4,fraction,sub,FR,UD,0.35,13,0.03006271505728364,0,2/1,0,0,0,0,0,1,0,0,0
7,642,0.07,0.5,5,3,1,50,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,45,0.1209139099810272,1,1/15,0,0,0,1,0,0,0,0,0
8,642,0.07,0.5,5,3,1,50,3/5*1/5,fraction,mul,FR,ED,0.12,15,0.04096792009659111,1,3/25,0,0,0,0,0,1,0,0,0
9,642,0.07,0.5,5,3,1,50,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,15,0.04036836698651314,1,12/25,0,0,0,0,0,1,0,0,0
10,642,0.07,0.5,5,3,1,50,3/5*1/4,fraction,mul,FR,UD,0.15,15,0.04087035916745663,1,3/20,0,0,0,0,0,1,0,0,0
11,642,0.07,0.5,5,3,1,50,2/3*3/5,fraction,mul,FR,UD,0.4,19,0.05491748685017228,1,2/5,0,0,0,0,0,1,0,0,0
12,642,0.07,0.5,5,3,1,50,3/5:1/5,fraction,div,FR,ED,3.0,13,0.02972613298334181,1,3/1,0,0,0,0,0,1,0,0,0
13,642,0.07,0.5,5,3,1,50,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.02062345505692065,0,1.333/5,0,1,0,0,0,0,0,0,0
14,642,0.07,0.5,5,3,1,50,3/5:1/4,fraction,div,FR,UD,2.4,33,0.09436072106473148,0,2.4/20,0,0,0,1,0,0,0,0,0
15,642,0.07,0.5,5,3,1,50,2/3:3/5,fraction,div,FR,UD,1.111111111111111,18,0.04480339493602514,1,10/9,0,0,0,0,0,0,0,1,0
0,105,0.02,0.1,5,4,1,0,3/5+1/5,fraction,add,FR,ED,0.8,12,0.05139985214918852,1,4/5,0,1,0,0,0,0,0,0,0
1,105,0.02,0.1,5,4,1,0,4/5+3/5,fraction,add,FR,ED,1.4,9,0.04454742697998881,1,7/5,1,0,0,0,0,0,0,0,0
2,105,0.02,0.1,5,4,1,0,3/5+1/4,fraction,add,FR,UD,0.85,15,0.06807912606745958,0,4/9,0,0,0,0,0,1,0,0,0
3,105,0.02,0.1,5,4,1,0,2/3+3/5,fraction,add,FR,UD,1.266666666666667,17,0.08328457898460329,0,5/15,0,0,1,0,0,0,0,0,0
4,105,0.02,0.1,5,4,1,0,3/5-1/5,fraction,sub,FR,ED,0.4,10,0.04063081787899137,0,2/0,0,0,0,0,0,1,0,0,0
5,105,0.02,0.1,5,4,1,0,4/5-3/5,fraction,sub,FR,ED,0.2000000000000001,8,0.02924800012260675,1,1/5,0,1,0,0,0,0,0,0,0
6,105,0.02,0.1,5,4,1,0,3/5-1/4,fraction,sub,FR,UD,0.35,33,0.1576239368878305,1,7/20,0,0,1,0,0,0,0,0,0
7,105,0.02,0.1,5,4,1,0,2/3-3/5,fraction,sub,FR,UD,0.06666666666666665,29,0.1432811899576336,0,0/1,0,0,0,1,0,0,0,0,0
8,105,0.02,0.1,5,4,1,0,3/5*1/5,fraction,mul,FR,ED,0.12,20,0.08724933699704707,0,1/3,0,0,0,0,0,0,1,0,0
9,105,0.02,0.1,5,4,1,0,4/5*3/5,fraction,mul,FR,ED,0.4800000000000001,15,0.07234691199846566,0,8/24,0,0,0,0,0,0,0,0,1
10,105,0.02,0.1,5,4,1,0,3/5*1/4,fraction,mul,FR,UD,0.15,12,0.06913827289827168,0,3/14,0,0,0,0,1,0,0,0,0
11,105,0.02,0.1,5,4,1,0,2/3*3/5,fraction,mul,FR,UD,0.4,261,1.465467019937932,0,57/15,0,0,0,1,0,0,0,0,0
12,105,0.02,0.1,5,4,1,0,3/5:1/5,fraction,div,FR,ED,3.0,10,0.04832154302857816,1,3/1,0,0,0,0,0,1,0,0,0
13,105,0.02,0.1,5,4,1,0,4/5:3/5,fraction,div,FR,ED,1.333333333333333,8,0.03485687100328505,0,1/5,0,1,0,0,0,0,0,0,0
14,105,0.02,0.1,5,4,1,0,3/5:1/4,fraction,div,FR,UD,2.4,13,0.05293192411772907,0,3/1,0,0,0,0,0,1,0,0,0
15,105,0.02,0.1,5,4,1,0,2/3:3/5,fraction,div,FR,UD,1.111111111111111,18,0.07437657099217176,0,8/9,0,0,0,0,0,0,0,1,0
0,780,0.08,0.9,5,3,1,0,3/5+1/5,fraction,add,FR,ED,0.8,12,0.03012607409618795,1,4/5,1,0,0,0,0,0,0,0,0
