model,set,prob,accuracy
distilled-100,sd_add,8+6,1.0
distilled-100,sd_add,8+7,0.0
distilled-100,sd_add,8+8,1.0
distilled-100,sd_add,8+9,0.0
distilled-100,sd_add,9+1,1.0
distilled-100,sd_add,9+2,1.0
distilled-100,sd_add,9+3,1.0
distilled-100,sd_add,9+4,1.0
distilled-100,sd_add,9+5,1.0
distilled-100,sd_add,9+6,1.0
distilled-100,sd_add,9+7,0.0
distilled-100,sd_add,9+8,1.0
distilled-100,sd_add,9+9,1.0
distilled-100,sd_mul,2*2,1.0
distilled-100,sd_mul,2*3,1.0
distilled-100,sd_mul,2*4,1.0
distilled-100,sd_mul,2*5,1.0
distilled-100,sd_mul,2*6,1.0
distilled-100,sd_mul,2*7,1.0
distilled-100,sd_mul,2*8,1.0
distilled-100,sd_mul,2*9,1.0
distilled-100,sd_mul,3*2,1.0
distilled-100,sd_mul,3*3,1.0
distilled-100,sd_mul,3*4,1.0
distilled-100,sd_mul,3*5,1.0
distilled-100,sd_mul,3*6,1.0
distilled-100,sd_mul,3*7,1.0
distilled-100,sd_mul,3*8,1.0
distilled-100,sd_mul,3*9,1.0
distilled-100,sd_mul,4*2,1.0
distilled-100,sd_mul,4*3,1.0
distilled-100,sd_mul,4*4,1.0
distilled-100,sd_mul,4*5,1.0
distilled-100,sd_mul,4*6,1.0
distilled-100,sd_mul,4*7,1.0
distilled-100,sd_mul,4*8,1.0
distilled-100,sd_mul,4*9,1.0
distilled-100,sd_mul,5*2,1.0
distilled-100,sd_mul,5*3,1.0
distilled-100,sd_mul,5*4,1.0
distilled-100,sd_mul,5*5,1.0
distilled-100,sd_mul,5*6,1.0
distilled-100,sd_mul,5*7,1.0
distilled-100,sd_mul,5*8,1.0
distilled-100,sd_mul,5*9,1.0
distilled-100,sd_mul,6*2,1.0
distilled-100,sd_mul,6*3,1.0
distilled-100,sd_mul,6*4,1.0
distilled-100,sd_mul,6*5,1.0
distilled-100,sd_mul,6*6,1.0
distilled-100,sd_mul,6*7,1.0
distilled-100,sd_mul,6*8,1.0
distilled-100,sd_mul,6*9,1.0
distilled-100,sd_mul,7*2,1.0
distilled-100,sd_mul,7*3,1.0
distilled-100,sd_mul,7*4,1.0
distilled-100,sd_mul,7*5,1.0
distilled-100,sd_mul,7*6,1.0
distilled-100,sd_mul,7*7,1.0
distilled-100,sd_mul,7*8,1.0
distilled-100,sd_mul,7*9,1.0
distilled-100,sd_mul,8*2,1.0
distilled-100,sd_mul,8*3,1.0
distilled-100,sd_mul,8*4,1.0
distilled-100,sd_mul,8*5,1.0
distilled-100,sd_mul,8*6,1.0
distilled-100,sd_mul,8*7,1.0
distilled-100,sd_mul,8*8,1.0
distilled-100,sd_mul,8*9,1.0
distilled-100,sd_mul,9*2,1.0
distilled-100,sd_mul,9*3,1.0
distilled-100,sd_mul,9*4,1.0
distilled-100,sd_mul,9*5,1.0
distilled-100,sd_mul,9*6,1.0
distilled-100,sd_mul,9*7,1.0
distilled-100,sd_mul,9*8,1.0
distilled-100,sd_mul,9*9,1.0
uma-60,sd_add,1+1,0.8666666666666667
uma-60,sd_add,1+2,0.95
uma-60,sd_add,1+3,0.95
uma-60,sd_add,1+4,0.9
uma-60,sd_add,1+5,0.8833333333333333
uma-60,sd_add,1+6,0.9166666666666666
uma-60,sd_add,1+7,0.9833333333333333
